NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
ITC11,-0.041689719149862386,-0.05640899095477524,-0.02818233993499531,-0.015497547174952112,85,0.765
ITC12,-0.0468639873362201,-0.07069959574475952,-0.03100844372378687,-0.015519727854047288,89,0.787
ITC13,-0.04228015645259093,-0.05451886300811445,-0.03388278568767795,-0.014201046441753915,93,0.731
ITC14,-0.03494811857643845,-0.045089019894829795,-0.023839388107513987,-0.011689229629226963,90,0.644
ITC15,-0.04671411793256493,-0.057607677475925934,-0.035233837343671776,-0.016421601198159577,89,0.764
ITC16,-0.04665296410559341,-0.06239704238390946,-0.030858127537579747,-0.014236020584408208,89,0.719
ITC17,-0.04663971901918075,-0.057847961369971744,-0.03256545004116481,-0.016898670422745284,94,0.777
ITC18,-0.041798516871647325,-0.05038983332638447,-0.028646324370853096,-0.015465504611408535,97,0.763
ITC20,-0.035906751793981014,-0.04434744255455255,-0.024735469451845876,-0.012038185709862497,81,0.679
ITC31,-0.054567151650413946,-0.06671855717831732,-0.031362910078365794,-0.010802060311904362,93,0.677
ITC32,-0.05672749641564945,-0.08611629473396892,-0.035839711336016065,-0.01356118345377668,87,0.724
ITC33,-0.048706298220492855,-0.058755668043546296,-0.027329094312998153,-0.01276889810229926,88,0.705
ITC34,-0.04604284313567554,-0.052730018881497004,-0.023366184227821357,-0.012555391761645657,90,0.689
ITC41,-0.05204504456155913,-0.07524199131156649,-0.035721226949839965,-0.01789231007898731,86,0.779
ITC42,-0.046075836139424016,-0.05803533104822401,-0.0313967113976674,-0.017242713511106664,90,0.789
ITC43,-0.04318254457546943,-0.05132509425289537,-0.028968503943250103,-0.015129793391597497,90,0.756
ITC44,-0.03604181919990588,-0.040730572105783694,-0.024693444527602245,-0.011461280734955882,99,0.677
ITC46,-0.04276252454267011,-0.050817491663034904,-0.02762218015395476,-0.0166328958402856,94,0.777
ITC47,-0.0437310573459655,-0.05649969379019851,-0.02857352716579912,-0.013907683690801132,91,0.725
ITC48,-0.045015821875748215,-0.05556771086359705,-0.028546195585264687,-0.015172572503656423,90,0.767
ITC49,-0.042841961917308144,-0.05515511909124777,-0.028671435028715043,-0.01409016757381802,99,0.707
ITC4A,-0.04273103157905619,-0.052679659638280814,-0.02731492621349016,-0.01401669340013865,99,0.727
ITC4B,-0.04382000751948084,-0.053476284285193534,-0.029365542738057936,-0.014761561588884364,93,0.742
ITC4C,-0.04453926854935486,-0.060273984318380144,-0.02724161764729044,-0.017080265624157723,92,0.804
ITC4D,-0.045516693493056565,-0.05497141048793342,-0.029508449405096206,-0.01618896943827603,94,0.755
ITF11,-0.036722445433149405,-0.049229555305683986,-0.0213553740303538,-0.01368933916505473,98,0.704
ITF12,-0.040642615437097455,-0.05406722758330028,-0.027576026659744204,-0.015274056795680476,94,0.755
ITF13,-0.039242796845026594,-0.055062150964013894,-0.025389458974992278,-0.014623558393127623,95,0.737
ITF14,-0.04330301844272457,-0.06059169236173788,-0.03203633670955948,-0.01655020496472665,97,0.753
ITF21,-0.037956726414803854,-0.049343758874165394,-0.0260299417584578,-0.01463776114173527,93,0.71
ITF22,-0.04094098038173331,-0.058236131031798394,-0.03241669687928609,-0.014995125291360345,101,0.752
ITF31,-0.03761153538195408,-0.048627085642894,-0.0217261644803585,-0.011391708219683917,95,0.663
ITF32,-0.04383821888421652,-0.06036814905979336,-0.03253046552586295,-0.016716354917638992,93,0.785
ITF33,-0.04124256281869411,-0.05514344988566345,-0.02571179502401192,-0.012057349781990108,92,0.685
ITF34,-0.04273590946316693,-0.051619581694717184,-0.030195155762323407,-0.016727575732084138,99,0.768
ITF35,-0.03931376556548908,-0.05476060031942866,-0.03211293893541496,-0.01313244998281886,101,0.703
ITF43,-0.05623280073361141,-0.08464093762118932,-0.03887013189770715,-0.01835863013776935,93,0.785
ITF44,-0.05192959104439689,-0.07490745425619057,-0.034028069588753956,-0.01394354782312948,98,0.735
ITF45,-0.0488884633667379,-0.07661922366518577,-0.03236047982929705,-0.013302612774521126,89,0.73
ITF46,-0.05171501897784542,-0.07202479392610027,-0.04184232843223795,-0.016571325857403646,97,0.784
ITF47,-0.05251736957914619,-0.07216792761090543,-0.03538319830897932,-0.017438132302661585,100,0.76
ITF48,-0.05290975656823531,-0.06617285049937238,-0.04340118188978839,-0.021198644589576626,99,0.828
ITF51,-0.03862825979458448,-0.05263022575957178,-0.030202941584916248,-0.01379845524685529,104,0.731
ITF52,-0.05176725870000876,-0.07077731394487415,-0.03697223928229705,-0.014748462693139416,104,0.74
ITF61,-0.04596507294600145,-0.07163154872775196,-0.030190161734186285,-0.01682757197174796,99,0.758
ITF62,-0.055563388318085286,-0.08403679163788945,-0.04064701969697905,-0.01699377737803376,89,0.775
ITF63,-0.04636274509978103,-0.07259096889493219,-0.02762951823435808,-0.010150501108976404,99,0.707
ITF64,-0.05148334057884034,-0.07441436558854317,-0.035154160236489464,-0.016930640434616076,99,0.768
ITF65,-0.046498969447289144,-0.06807024742318325,-0.027157594397283862,-0.013239544492475986,98,0.735
ITG11,-0.042633987199628444,-0.059078487726293524,-0.02974081830881889,-0.01152021286080119,99,0.687
ITG12,-0.043121276669496354,-0.060681416174885164,-0.028702860832795628,-0.012943490715727087,98,0.714
ITG13,-0.04031696281196903,-0.05433585601339482,-0.021336347119802996,-0.008532987910007228,102,0.637
ITG14,-0.04313585796029281,-0.06340102471131985,-0.026066092758810888,-0.01235784562581354,102,0.696
ITG15,-0.04686002008581971,-0.06854309677227734,-0.03003913583218657,-0.011378985734975786,102,0.667
ITG16,-0.04766083634251463,-0.06527143648847307,-0.03183977790390532,-0.012112042274715218,96,0.708
ITG17,-0.045340734171229836,-0.06154572121558584,-0.03085694272801381,-0.011008062600827975,96,0.656
ITG18,-0.04643363252939604,-0.06106063466668922,-0.028851577103737456,-0.011565783296418693,95,0.705
ITG19,-0.04623333082729648,-0.051626482041071765,-0.03233024811279013,-0.012151293541709126,100,0.72
ITG2D,-0.04206283608028685,-0.055673898463068666,-0.02218013759263415,-0.011118017791389538,93,0.634
ITG2E,-0.03971092613261851,-0.05396938550647279,-0.024512989390388373,-0.010413156866383846,95,0.663
ITG2F,-0.03590037036447837,-0.050247080462319474,-0.022055756428369187,-0.009062626118499886,105,0.61
ITG2G,-0.03578666170757774,-0.0479443860406522,-0.022573340990286204,-0.009523837737147923,98,0.653
ITG2H,-0.03871448523700954,-0.05298126584936268,-0.02674423105411176,-0.011330201941026031,101,0.683
ITH10,-0.0365897207960532,-0.04878917222261049,-0.023175443095043276,-0.013840645500114757,89,0.73
ITH20,-0.041593171433991015,-0.053479828137186686,-0.026460499666310585,-0.015180425684568257,89,0.764
ITH31,-0.04511978109397174,-0.06236755305670022,-0.02792728656209205,-0.013824911876667307,92,0.717
ITH32,-0.04236892094621776,-0.05850761615070413,-0.025917764423525006,-0.01422949931873433,92,0.707
ITH33,-0.04043843530824926,-0.05117294043917511,-0.022757224627485195,-0.01553675081136243,90,0.767
ITH34,-0.0394909978618616,-0.05102647547520193,-0.024707341696463606,-0.012499839941128823,90,0.7
ITH35,-0.04278588669779519,-0.05600129480658932,-0.029442344085007382,-0.01048790308526217,86,0.698
ITH36,-0.04694214782327773,-0.06705532883566642,-0.03227912452059325,-0.014704684154927497,87,0.747
ITH37,-0.045622042156619524,-0.05952391685554303,-0.030663166322957833,-0.013359267891516454,81,0.704
ITH41,-0.041671705337282115,-0.047924406535130304,-0.02582033435722691,-0.013780074552879083,91,0.725
ITH42,-0.03638613120916807,-0.04681897046155073,-0.02428571635890349,-0.012369364091449252,91,0.681
ITH43,-0.035668426140706526,-0.04836113559136824,-0.023496309801700095,-0.009584597985225967,95,0.674
ITH44,-0.03628989156988174,-0.05452420128226936,-0.023840940096042106,-0.01153316823834307,92,0.674
ITH51,-0.04357786388590003,-0.049211570610413674,-0.025860537536036607,-0.015934717853307103,98,0.755
ITH52,-0.04015860842233921,-0.05190424350759743,-0.022476736311796513,-0.013604203157618552,87,0.69
ITH53,-0.04469732134025459,-0.058310293271090365,-0.024760218080694226,-0.013921266123707626,87,0.724
ITH54,-0.041457819903303446,-0.05540409800630862,-0.025542001332365238,-0.012880820143134146,93,0.677
ITH55,-0.03854136152184481,-0.05545225930576531,-0.022957220237937198,-0.011202804822184852,93,0.656
ITH56,-0.04099789365957258,-0.05541460867308406,-0.024623468121772525,-0.01042114322340492,89,0.674
ITH57,-0.0409257813810283,-0.05920096853316644,-0.024418447344444934,-0.009226117250064928,90,0.644
ITH58,-0.04163467240337589,-0.0538287362411547,-0.024484195606905054,-0.011481945014735583,85,0.671
ITH59,-0.045567400518450464,-0.06021181864243873,-0.02731926698417988,-0.013570996732903632,85,0.729
ITI11,-0.044480832400089064,-0.053629043070614724,-0.02458174132567776,-0.012237061870846767,91,0.681
ITI12,-0.04145255192507878,-0.05494402506496411,-0.025187491039120158,-0.011168286922762784,98,0.673
ITI13,-0.040018316965533415,-0.05521751150463151,-0.02379782343085215,-0.010641012546261066,98,0.694
ITI14,-0.041053309613786476,-0.05815126986582396,-0.023239364883893988,-0.010206503742348699,93,0.677
ITI15,-0.036236835535528124,-0.04886379413777102,-0.022069439664771647,-0.009790800732857086,97,0.598
ITI16,-0.038309656298678066,-0.04702352096479955,-0.025800223552809032,-0.014288291544830318,98,0.724
ITI17,-0.04247151947555844,-0.06053431113343985,-0.02616892897209511,-0.013205218736453833,95,0.705
ITI18,-0.040767320754955504,-0.05250525822342301,-0.02459337760065522,-0.011702245777669807,92,0.674
ITI19,-0.038368073074502206,-0.04559771358715998,-0.021128935660358096,-0.012422429329240805,98,0.673
ITI1A,-0.04110919563315209,-0.05104737123450222,-0.023648300957214523,-0.015056720669397863,97,0.773
ITI21,-0.03815832069465408,-0.04694029390555016,-0.023672902833106354,-0.011416852521898046,89,0.674
ITI22,-0.04085105415352209,-0.05158762621753343,-0.027150566052317936,-0.014894867739624517,91,0.769
ITI31,-0.04137471563951441,-0.05494082415726448,-0.0281420907210704,-0.012844628197679262,89,0.719
ITI32,-0.03715058376595375,-0.05453118832088735,-0.02716680409073455,-0.010045086405794157,90,0.656
ITI33,-0.04106698808898967,-0.0568725695004419,-0.028220567810642208,-0.011039005457173246,92,0.685
ITI34,-0.039433576549783515,-0.05516490195147944,-0.02662551262660382,-0.015863501572655644,87,0.759
ITI35,-0.03942154742247892,-0.05724482016517629,-0.028296847149796644,-0.010469351636759596,89,0.674
ITI41,-0.039233080476105985,-0.0574593406042075,-0.02430621029383236,-0.011370594778437406,92,0.663
ITI42,-0.037733502880736985,-0.048321091056561384,-0.0250263262630903,-0.015763148123201308,98,0.776
ITI43,-0.038409851575774506,-0.05682563233774976,-0.021554639695944768,-0.010332904127112137,96,0.635
ITI44,-0.040056195963257366,-0.04871525898697865,-0.024013817141919903,-0.012840705701581542,99,0.717
ITI45,-0.04100126026021109,-0.05038802052442454,-0.022766313805141332,-0.013677377557621585,100,0.7
